source_file,placemark_id,name,description,geometry_type,longitude,latitude,altitude,coordinates,lookat_longitude,lookat_latitude,lookat_altitude,lookat_heading,lookat_tilt,lookat_range,gx_mid,gx_fid
nashik_kumbh_chokepoints_parking_map.kml,,Dwarka Circle / Dwarka Chowk,"Category: Traffic choke point | Status: confirmed 2027 project | Risk: very high | Source: https://www.freepressjournal.in/pune/centre-approves-214-crore-fornashiks-dwarka-chowk-upgrade | Note: Vital artery connecting Mumbai-Agra NH, Nashik Road, Panchavati, city centre and industrial routes; specifically upgraded for Kumbh readiness.",Point,73.79564,19.98695,0,"73.79564,19.98695,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Nashik Road-Dwarka corridor,Category: Traffic choke point | Status: confirmed 2027 project | Risk: very high | Source: https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576 | Note: Key commuter and pilgrim corridor where minor breakdowns can create long tailbacks.,Point,73.8014105,19.9871372,0,"73.8014105,19.9871372,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Kathe Galli,Category: Traffic choke point | Status: confirmed 2027 project | Risk: high | Source: https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576 | Note: Named pinch point on Nashik Road-Dwarka stretch.,Point,73.8078,19.9739,0,"73.8078,19.9739,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Fame Signal,Category: Traffic choke point | Status: confirmed 2027 project | Risk: high | Source: https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576 | Note: Named signal choke point on Nashik Road-Dwarka stretch.,Point,73.821,19.9645,0,"73.821,19.9645,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Upnagar,Category: Traffic choke point | Status: confirmed 2027 project | Risk: high | Source: https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576 | Note: Named congestion area on Nashik Road-Dwarka stretch.,Point,73.8167,19.9717777,0,"73.8167,19.9717777,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Upnagar Junction,Category: Traffic choke point | Status: confirmed 2027 project | Risk: high | Source: https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576 | Note: Named congestion junction on Nashik Road-Dwarka stretch.,Point,73.8354,19.9549,0,"73.8354,19.9549,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Datta Mandir Signal,Category: Traffic choke point | Status: confirmed 2027 project | Risk: high | Source: https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576 | Note: Named signal choke point on Nashik Road-Dwarka stretch.,Point,73.8395,19.9515,0,"73.8395,19.9515,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Dr. Ambedkar Nagar,Category: Traffic choke point | Status: confirmed 2027 project | Risk: medium | Source: https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576 | Note: Named congestion area on Nashik Road-Dwarka stretch.,Point,73.846,19.9529,0,"73.846,19.9529,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Mumbai Naka,Category: Traffic choke point | Status: analyst derived from route behavior | Risk: high | Source: https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576 | Note: Likely spillover point when traffic bypasses Dwarka via Kathe Galli-Mumbai Naka.,Point,73.7839866,19.9870794,0,"73.7839866,19.9870794,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Panchavati / Ramkund access zone,Category: No-vehicle pressure zone | Status: confirmed Kumbh pressure zone | Risk: very high | Source: https://www.travelandtourworld.com/news/article/complete-guide-to-nashik-kumbh-mela-2027-verified-travel-routes-accommodation-and-safety-tips/ | Note: Main sacred bathing pressure area; private vehicles expected to be shifted to outer parking on peak days.,Point,73.79062,20.0067,0,"73.79062,20.0067,0",,,,,,,,
nashik_kumbh_chokepoints_parking_map.kml,,Ramkund,Category: No-vehicle pressure zone | Status: confirmed Kumbh pressure zone | Risk: very high | Source: https://www.travelandtourworld.com/news/article/complete-guide-to-nashik-kumbh-mela-2027-verified-travel-routes-accommodation-and-safety-tips/ | Note: Core bathing site and crowd-density hotspot.,Point,73.79062,20.0067,0,"73.79062,20.0067,0",,,,,,,,
